text	predictions_lgr	ytest	predictions_author	true_author
"""The directors own 22 percent of the club...They can sit back for five years and enjoy the football and then enjoy the benefits when the really big money comes in from pay-per-view,"" said Vinay Bedi of brokerage Wise Speke"	38	21	\PierreTran	\KeithWeir
NRJ believes its network of stations across markets such as France, Germany and Scandinavia would allow it to give new British bands a European-wide platform	38	21	\PierreTran	\KeithWeir
Pearson had dipped to a two-month low on Tuesday but bounced back after the company said trading in the second half of the current year was in line with the first half. The shares were 20 1/2p firmer at 710p by 095 GMT	2	21	\AlexanderSmith	\KeithWeir
She lives in the swish west London quarter of Knightsbridge with husband Albert. The couple have three children -- the youngest of whom is making a name for himself as an actor	2	21	\AlexanderSmith	\KeithWeir
A stock market listing enables soccer club owners to tap into new sources of finance, to dilute their own personal exposure to the risks of an expensive business and make it easier to cash in on their stake at some point in the future	10	21	\FumikoFujisaki	\KeithWeir
The proposal will create work aplenty for British, American and European regulators who will review the merger, which would create a $40 billion company serving 43 million business and residential customers in 70 countries	35	21	\NickLouth	\KeithWeir
The $22 billion takeover of MCI Communications Corp marks a spectacular end to Sir Peter Bonfield's first year as chief executive of British Telecommunications Plc	35	21	\NickLouth	\KeithWeir
For customers, the deal promises better service and lower international calling charges, while for businesses it means a company that can support them wherever they are	35	21	\NickLouth	\KeithWeir
It will cause sleepless nights for rivals such as AT&amp;T, Sprint Corp., France Telecom and Deutsche Telekom as they weigh how to respond. Sprint is allied with the French and German companies in the Global One international venture while AT&amp;T is part of a network of alliances called World Partners	35	21	\NickLouth	\KeithWeir
A $22 billion takeover of MCI Communciations Corp would mark a spectacular end to Sir Peter Bonfield's first year as chief executive of British Telecommunications Plc	35	21	\NickLouth	\KeithWeir
The deal would be the biggest yet in the rapidly changing telecommunications market and the second largest involving a U.S. company -- topped only by the buyout of RJR Nabisco by Kohlberg Kravis Roberts &amp; Co	35	21	\NickLouth	\KeithWeir
Hotelier Millennium &amp; Copthorne, floated in London this year, has effectively ruled itself out of the race. A company spokesman said Millennium had looked at the Metropole hotels but was not in talks to buy them	8	21	\EdnaFernandes	\KeithWeir
Barlow has reshaped the company in his six years in charge, selling off the Royal Doulton china business and wine and oil industry interests. The company has focused on three divisions -- Information, Education and Entertainment. Its activities range from Australian soap opera to the Financial Times and analysts say not all pieces of the jigsaw fit	8	21	\EdnaFernandes	\KeithWeir
"""I know this company has been broken up and put back together (by journalists and analysts) in all kinds of ways. I think I'm aware of all the possibilities.""There was more bad press on Thursday as the market questioned her qualifications"	1	21	\AlanCrosby	\KeithWeir
However, Friday's planned launch of WBTV-The Warner Channel was postponed at the 11th hour on Thursday evening	1	21	\AlanCrosby	\KeithWeir
Analysts were surprised at the lacklustre reaction to Granada's strong results and an upbeat statement in which it said that trading had been encouraging in the first few weeks of its new financial year	1	21	\AlanCrosby	\KeithWeir
Sugar, who has a 40 percent stake in Tottenham, acknowledged that profit figures were meaningless to fans clamouring for new signings following the injury-hit team's indifferent start to the season	1	21	\AlanCrosby	\KeithWeir
The new company, to be called Concert, plans to take on AT&amp;T's dominance in the U.S. long-distance market, where MCI now has about 20 percent of a $75 billion business, and to win part of the $100 market for residential local phone service	24	21	\KirstinRidley	\KeithWeir
British Telecom's stock jumped in London and New York, where its American shares rose $5.375 to $60.875 on the New York Stock Exchange in afternoon trading	24	21	\KirstinRidley	\KeithWeir
Its partner in Britain is Flextech Plc, while it is working with Discovery Communications Inc on channels for international markets. Leading U.S. cable television operator Tele-Communications Inc is a major shareholder in both companies. It aims to launch its UK services in mid 1997	24	21	\KirstinRidley	\KeithWeir
Its partner in Britain is Flextech Plc, while it is working with Discovery Communications Inc on channels for international markets. Leading U.S. cable television operator Tele-Communications Inc is a major shareholder in both companies. It aims to launch its UK services in mid 1997	24	21	\KirstinRidley	\KeithWeir
British conglomerate Lonrho, in the throes of a demerger, said last month it had received interest from potential buyers of the hotels and shelved plans to float them	24	21	\KirstinRidley	\KeithWeir
Glasgow-based Stakis Plc and Saudi billionaire Prince al-Waleed bin Talal are the likely purchasers of the Metropole and Princess hotel chains from Lonrho Plc, analysts said on Wednesday	24	21	\KirstinRidley	\KeithWeir
He has also targeted Asia-Pacific as a region where BT needs to expand, hence the attempt to do a deal with Cable and Wireless, which is very strong there	24	21	\KirstinRidley	\KeithWeir
Stakis, which has some 46 British hotels, has refused to comment on reports it planned to buy the five Metropole properties. But the hotels and casino group remains the clear favourite to clinch a deal	24	21	\KirstinRidley	\KeithWeir
He has also targeted Asia-Pacific as a region where BT needs to expand, hence the attempt to do a deal with Cable and Wireless, which is very strong there	24	21	\KirstinRidley	\KeithWeir
"""Over the past year, people have become far more discerning about the type of hotel business they become involved in. But that does not mean they are reluctant to invest in the sector,"" said Greg Feehley of Kleinwort Benson"	11	21	\GrahamEarnshaw	\KeithWeir
Channel 4, set up in 1982 with a brief to transmit innovative and minority programming, is a statutory, state-controlled, corporation funded by advertising	33	21	\MichaelConnor	\KeithWeir
But the market greeted her appointment with scepticism, with market players saying they knew little about her. The shares fell to a low of 668 pence, but later recovered to 678 for a loss of 10 pence	16	21	\JoWinterbottom	\KeithWeir
The company's critics have long said it lacks focus and much attention is centred on the likely impact of Texan Scardino, the first woman to head one of Britain's leading companies	16	21	\JoWinterbottom	\KeithWeir
He began his career with Texas Instruments, working in the field of semiconductors and computers in Europe, the Far East and the United States. He became a divisional director of Texas based in the U.S. before joining ICL in the early 1980s	9	21	\EricAuchard	\KeithWeir
He began his career with Texas Instruments, working in the field of semiconductors and computers in Europe, the Far East and the United States. He became a divisional director of Texas based in the U.S. before joining ICL in the early 1980s	9	21	\EricAuchard	\KeithWeir
Its film processing arm boosted profits to almost 53 million pounds -- a 27 percent jump -- as the Hollywood studios continued their policy of releasing movies to large numbers of cinemas simultaneously	44	21	\SimonCowell	\KeithWeir
Operating revenues for the three months to September 30 increased to 266 million pounds, a rise of 24 percent on a year earlier. Earnings per share were 3.9 pence, 30 percent up	44	21	\SimonCowell	\KeithWeir
The London daily Financial Times reported on Wednesday that the sale of the chains for more than 650 million pounds ($1 billion) could be completed within the next fortnight. There was no immediate comment from Lonrho on the report	44	21	\SimonCowell	\KeithWeir
Barlow, who has been chief executive for seven years, had agreed to extend his contract for two years after his retirement date in 1995 in order to help implement the group's strategy to focus on the media sector	23	21	\KevinMorrison	\KeithWeir
Vodafone gained a net 146,000 UK subscribers in the last three months of last year once cancellations had been taken into account and said that its performance was an improvement on the corresponding 1995 quarter	31	21	\MartinWolk	\KeithWeir
-- London Newsroom +44 171 542 7717	19	21	\JonathanBirt	\KeithWeir
EMAP said that margins should improve as paper prices continue to decline. Proceeds from the sale of the regional newspaper business should lead to a significant reduction in interest charges	5	21	\BradDorfman	\KeithWeir
"""She's apparently been very successful at the Economist but it's not the same as running a major PLc,"" said one analyst"	42	21	\SarahDavison	\KeithWeir
American hotel companies ITT Sheraton and Marriott are reportedly among potential purchasers for the chain. A deal is expected to be concluded around the turn of the year	39	21	\RobinSidel	\KeithWeir
The company, in which Rupert Murdoch's News Corp is the leading shareholder, said that total paying subscribers had reached 5.65 million at 30 September, a net increase for the quarter of 146,000	4	21	\BernardHickey	\KeithWeir
