	text	predictions_nb	ytest	predictions_author	true_author
102	Vodafone gained a net 146,000 UK subscribers in the last three months of last year once cancellations had been taken into account and said that its performance was an improvement on the corresponding 1995 quarter	2	21	\AlexanderSmith	\KeithWeir
103	"""Through this alliance, our two companies intend to lead the hotel and gaming markets worlwide,"" he added"	2	21	\AlexanderSmith	\KeithWeir
104	The pair have led the opposition to changes made to the company's articles at its annual general meeting in July. The changes remove a requirement to maintain at least five non-executive directors and allow a director to be ousted if 75 percent of the board vote for his removal	2	21	\AlexanderSmith	\KeithWeir
105	It said it would also consider backing Manchester council's bid for 20 million pound in funding for a new swimming and diving complex in the city, another Games facility	2	21	\AlexanderSmith	\KeithWeir
106	Analysts were surprised at the lacklustre reaction to Granada's strong results and an upbeat statement in which it said that trading had been encouraging in the first few weeks of its new financial year	2	21	\AlexanderSmith	\KeithWeir
107	"""She's apparently been very successful at the Economist but it's not the same as running a major PLc,"" said one analyst"	2	21	\AlexanderSmith	\KeithWeir
108	She lives in the swish west London quarter of Knightsbridge with husband Albert. The couple have three children -- the youngest of whom is making a name for himself as an actor	2	21	\AlexanderSmith	\KeithWeir
109	NRJ believes its network of stations across markets such as France, Germany and Scandinavia would allow it to give new British bands a European-wide platform	38	21	\PierreTran	\KeithWeir
110	Barlow has reshaped the company in his six years in charge, selling off the Royal Doulton china business and wine and oil industry interests. The company has focused on three divisions -- Information, Education and Entertainment. Its activities range from Australian soap opera to the Financial Times and analysts say not all pieces of the jigsaw fit	23	21	\KevinMorrison	\KeithWeir
111	"""A bid makes a lot of sense but the timing is not good for United News,"" said media analyst Nick Ward of Credit Lyonnais Laing"	23	21	\KevinMorrison	\KeithWeir
112	Barlow, who has been chief executive for seven years, had agreed to extend his contract for two years after his retirement date in 1995 in order to help implement the group's strategy to focus on the media sector	23	21	\KevinMorrison	\KeithWeir
113	The MMC will also be able to look at the practice among travel agents of offering holidays at a discount conditional on the purchase of specific travel insurance	46	21	\TheresePoletti	\KeithWeir
114	"""This is AT&amp;T Corp's worst nightmare,"" said consultant Jeffrey Kagan of Kagan Telecom"	35	21	\NickLouth	\KeithWeir
115	A stock market listing enables soccer club owners to tap into new sources of finance, to dilute their own personal exposure to the risks of an expensive business and make it easier to cash in on their stake at some point in the future	35	21	\NickLouth	\KeithWeir
116	The new company, to be called Concert, plans to take on AT&amp;T's dominance in the U.S. long-distance market, where MCI now has about 20 percent of a $75 billion business, and to win part of the $100 market for residential local phone service	35	21	\NickLouth	\KeithWeir
